building_id,efficiency_score,energy_intensity,annual_consumption_kwh,square_feet,primary_use
285,0.0,134.26356973985912,2948159.4643478263,21958,14
81,0.0,13.155098553156446,39794.17312329825,3025,7
648,0.0,56.16498600865219,8689060.325454546,154706,0
1105,0.0,36.48399463950683,1211815.8819512194,33215,2
38,0.0,119.0026221578926,1519544.4823341307,12769,6
272,0.0,30.412877630769838,139382.21818181817,4583,0
1329,0.0,25.921766623919485,1557898.174097561,60100,13
927,0.0,11.494277632649501,8570949.496615386,745671,4
506,0.0,91.87409123434706,3160468.738461539,34400,7
640,0.0,56.182007923346234,2032665.0466666666,36180,1
982,0.0,2.5783673874810837,962803.6363636364,373416,12
1089,0.0,68.28703434781151,4290952.377313432,62837,6
1447,0.0,49.97384270920795,1487971.1666666667,29775,4
1197,0.0,45.336672663209924,2291859.4764705882,50552,12
854,0.0,68.4360362298343,6315824.911578948,92288,1
505,0.0,16.78384056005781,866415.4173913044,51622,15
1418,0.0,96.54197487569098,3987376.646315789,41302,4
1,0.0,91.17655674634786,248000.23435006617,2720,0
1240,0.0,51.47699867432356,3772080.0318584074,73277,9
1245,0.0,46.12553256552097,1630722.0783214285,35354,3
157,0.0,107.45994294408518,565024.3799999999,5258,6
1212,0.0,33.66580969057906,7996235.786086957,237518,9
1108,0.0,2.0833483663766,1415872.7166666668,679614,8
533,0.0,35.91338791000271,427369.3161290323,11900,4
1402,0.0,35.945778343338766,4802140.311999999,133594,4
870,0.0,69.55346430249948,52512.865548387104,755,1
441,0.0,134.91704928068566,440774.00000000006,3267,9
449,0.0,19.817102592064423,363445.6615384615,18340,4
1155,0.0,119.35082233365561,2274707.3228571424,19059,15
1354,0.0,169.3919708075069,3935314.2658,23232,0
1199,0.0,20.62604505443032,217790.40972972976,10559,15
1391,0.0,50.25291566032268,3452023.5354545456,68693,1
1285,0.0,27.073287050843835,3521341.226842105,130067,3
428,0.0,82.40580945558739,115038.51,1396,1
1139,0.0,22.082600548886408,7434107.474782609,336650,6
446,0.0,38.43046451904781,1690632.9951219512,43992,9
508,0.0,1.1193951458483502,125689.0451612903,112283,7
1184,0.0,52.18094979331513,3891863.9593846155,74584,4
1271,0.0,52.47816852507061,1077901.5815049503,20540,9
1015,0.0,213.64454662637118,984260.4263076921,4607,7
1300,0.0,31.7249466675306,812444.1592087911,25609,3
458,0.0,62.41810198300284,286436.67000000004,4589,1
902,0.0,108.24629391623418,1576174.285714286,14561,0
1112,0.0,58.44721768668196,11132500.0,190471,6
375,0.0,11.156795875600045,9487226.0,850354,6
1426,0.0,224.6310726684319,3470550.0727272728,15450,1
546,0.0,24.15084218181818,9660336.872727273,400000,9
881,0.0,23.757601068838376,8191573.333333334,344798,1
516,0.0,91.19191397849464,820727.2258064518,9000,9
357,0.0,6.6575999999999995,13315.199999999999,2000,4
54,0.0,149.37090991389059,1175100.9482925772,7867,0
1125,0.0,4.061172303494793,1102575.7910204083,271492,8
1303,0.0,26.4042898,5280857.96,200000,3
1052,0.0,10.457928972635761,473796.47210526315,45305,11
1317,0.0,28.618944197174233,5174476.824514285,180806,1
199,0.0,1.7353031847794154,702941.82,405083,8
1200,0.0,10.89565590534603,5941956.843636363,545351,1
1313,0.0,41.20273356250144,2828032.0235294118,68637,3
55,0.0,143.7607894839179,2404542.964908011,16726,6
1205,0.0,5.619988987727074,1001875.4368421054,178270,8
1282,0.0,382.2763885714286,4778454.857142857,12500,3
816,0.0,77.59199879614766,27622.75157142857,356,1
509,0.0,62.336120249574584,659391.48,10578,7
404,0.0,262.7686223166424,1519590.942857143,5783,9
84,0.0,13.23856612227801,53457.33000175861,4038,6
532,0.0,45.13599166850252,321955.0285714285,7133,1
797,0.0,3.025686091537653,2312341.2615384613,764237,0
1171,0.0,79.70341194819207,4531218.672666667,56851,5
869,0.0,13.308125257142857,11644609.6,875000,1
368,0.0,31.63197202797203,521927.5384615385,16500,11
1163,0.0,22.751235091469464,1909260.897641026,83919,8
757,0.0,142.03277338375653,6648980.220413795,46813,0
1192,0.0,178.36234627519156,7774279.587096774,43587,6
1349,0.0,141.54228233945622,1120873.333846154,7919,5
1153,0.0,14.835673403684494,1327140.0,89456,13
31,0.7692307692307736,60.784868193055416,3762826.4806229025,61904,0
620,1.2195121951219505,47.82475115451105,10555066.054054052,220703,0
1252,1.2987012987013031,55.052931370999914,6399848.218947369,116249,0
904,1.470588235294116,153.42475450643977,4596759.069767442,29961,0
1204,1.5625,147.80558418810102,5673073.932307693,38382,6
791,1.5748031496062964,47.559349335732094,7166956.148148147,150695,0
1295,1.6129032258064484,37.23759715649746,4307496.288675,115676,6
16,1.7699115044247833,59.76469175115619,3265781.816050179,54644,0
60,1.923076923076934,58.8582264319224,4801418.679410501,81576,0
1336,1.9607843137254974,65.38827910672475,2030502.2311011238,31053,6
18,2.0270270270270316,47.323326218561796,5295054.293921098,111891,0
645,2.1276595744680833,39.75943700767627,12100108.742857141,304333,0
1301,2.3076923076923066,59.31119073458641,3691647.1337021273,62242,0
790,2.484472049689444,56.66531952051155,4879507.3292307705,86111,0
1249,2.5,41.98059101330444,6691034.518064515,159384,6
1437,2.6845637583892596,44.82246869563657,4998512.063999999,111518,0
1412,2.857142857142861,71.998087135776,2846660.369174312,39538,4
754,2.898550724637687,75.29134552165304,3112318.3498285715,41337,6
1287,3.100775193798455,58.916840344809195,3569300.0217692307,60582,0
1266,3.225806451612897,44.772389241448465,603039.3106930694,13469,9
1438,3.225806451612897,44.08218214520794,4803679.470545454,108971,0
218,3.225806451612897,45.60687343854732,748454.4,16411,9
125,3.3333333333333286,95.3824684736411,1602616.2352941178,16802,0
1077,3.7037037037037095,115.46133584795965,2246184.827586207,19454,1
1076,3.8461538461538396,35.06595917268953,4104610.785,117054,4
768,3.973509933774835,51.88044209722241,3939230.088,75929,0
785,4.166666666666657,35.6974187707317,8924354.692682926,250000,0
1409,4.166666666666657,64.7419681485507,3164652.1450693067,48881,4
1332,4.255319148936167,43.01809895340622,2038971.8541935482,47398,0
1289,4.255319148936167,38.84684767513025,7553419.9088,194441,0
1075,4.477611940298516,61.02753815896245,4437251.272000001,72709,6
232,4.545454545454547,57.78730324443271,1406831.8974857142,24345,1
1281,4.615384615384613,36.51265345084163,3765842.0516129043,103138,6
103,4.6511627906976685,90.46432821214142,1959185.956090347,21657,0
1314,4.6979865771812115,46.216107231475796,3411349.523076923,73813,0
743,4.761904761904773,92.30421580346471,1124726.8695652175,12185,1
1222,4.761904761904773,20.074208276790582,3757369.8600000003,187174,4
765,4.761904761904773,43.07293924457526,2522437.4680408165,58562,1
615,4.800000000000011,43.632617968212664,6706333.381714286,153700,0
1225,4.838709677419345,35.692273371026346,4381083.7872,122746,6
82,5.26315789473685,83.10217892333704,892766.7081734098,10743,6
1377,5.333333333333329,45.55342468542618,3398239.9281081078,74599,0
1299,5.357142857142861,87.3233656428439,2218100.8106938777,25401,0
1297,5.4054054054054035,88.75386260984959,1905456.676370861,21469,6
1296,5.555555555555557,76.73903675486163,678066.1287659573,8836,6
502,5.555555555555557,77.2807730705235,464457.44615384616,6010,9
983,5.555555555555557,26.098214360176364,3187166.134093458,122122,1
1431,5.555555555555557,28.926325598969996,3221235.6187012987,111360,9
1367,5.79710144927536,78.42747191806113,2642613.6662790696,33695,0
932,5.882352941176478,15.960027354766606,3733640.9192920355,233937,4
0,5.882352941176478,64.52778387890697,479570.4897880367,7432,0
437,5.882352941176478,38.17953646127755,444829.7793103448,11651,1
602,5.882352941176478,20.621478984311008,4909252.3944,238065,1
1306,6.0,41.29547340927551,2237058.3855272727,54172,4
114,6.060606060606062,38.229347013288255,5339989.878857143,139683,0
1430,6.15384615384616,67.745021668574,3611012.8899999997,53303,6
1424,6.25,47.80664136307487,1152283.4767741936,24103,4
485,6.451612903225808,43.19549363636364,950300.8600000001,22000,9
1011,6.474820143884898,43.62873628600309,2842150.396615385,65144,0
78,6.535947712418306,43.356494759975256,3306236.220911433,76257,0
110,6.779661016949163,86.13280282511606,2395697.777777778,27814,0
150,6.779661016949163,51.40173716652995,3374883.857142857,65657,6
1267,6.818181818181827,35.54022609164438,4939274.001538461,138977,0
521,6.896551724137936,23.75335769230769,285040.2923076923,12000,9
154,6.896551724137936,58.29194601654332,2008449.0,34455,6
745,6.896551724137936,56.24364962218141,759964.1936949152,13512,0
1378,6.976744186046517,35.34284818876813,7581217.650731708,214505,0
1387,7.142857142857139,26.799993423901704,5012697.569999998,187041,6
1283,7.142857142857139,41.67288710483631,3189517.760342857,76537,9
1441,7.246376811594203,85.20412367713897,2568307.9,30143,0
1004,7.333333333333343,43.028375397270516,3222222.92,74886,0
1337,7.407407407407405,94.68565172002171,1396045.24896,14744,6
1293,7.462686567164184,64.19184472607199,3304018.439895652,51471,6
203,7.5,34.32725320452105,2174562.8359999997,63348,4
332,7.5,39.13234819605174,3537564.276923077,90400,0
1224,7.692307692307693,58.81229743688023,1380971.5561153847,23481,6
1251,7.79220779220779,38.92295255003335,4071496.5285436884,104604,0
15,7.8125,41.50163087976145,3484352.423772132,83957,6
850,8.333333333333343,31.18623493062842,891614.4566666665,28590,9
786,8.450704225352112,31.771267354085598,8165215.709999999,257000,0
759,8.510638297872347,31.690143807882148,1537574.087414634,48519,4
1434,8.57142857142857,70.77150641818511,2345933.89475,33148,0
1263,8.860759493670884,35.0153802603594,3425834.773913043,97838,0
1298,8.92857142857143,33.148116188538964,5671112.31,171084,0
283,9.090909090909093,16.997786535498403,882525.076923077,51920,1
864,9.090909090909093,40.47707380607814,671271.7919999999,16584,9
235,9.090909090909093,21.265585833743234,197961.33852631578,9309,0
611,9.154929577464785,34.316087226636284,4396782.992000001,128126,0
1384,9.166666666666671,33.290751512385526,1896540.8229090911,56969,0
774,9.375,24.849240265406777,2323403.9648155337,93500,4
338,9.523809523809518,50.70885518632106,1207022.8800000001,23803,1
1405,9.523809523809518,19.217728430171935,2746232.6103999997,142901,4
789,9.558823529411768,38.64577024913676,2495859.7799999993,64583,0
489,9.615384615384613,38.35576550591073,3261735.942857143,85039,0
1414,9.756097560975604,31.9207633522684,2096013.0839999998,65663,4
1394,10.0,71.2270786681397,1164633.9633027522,16351,1
551,10.0,53.18952512843421,1623610.2545454544,30525,6
231,10.294117647058826,42.21422437566397,1424265.7162105266,33739,0
1079,10.34482758620689,43.22340492695728,613123.998888889,14185,0
119,10.429447852760731,34.95459155527369,3186076.0656716414,91149,0
1094,10.447761194029852,45.63957456589591,3233655.137142857,70852,6
993,10.526315789473685,20.205848213459863,8661176.21915493,428647,0
823,10.526315789473685,28.153838124414946,992507.2554000001,35253,9
572,10.559006211180119,33.86984765949916,3189692.9033333333,94175,0
76,10.563380281690144,33.79420402095498,4355633.573648824,128887,0
209,10.63829787234043,32.53417928130206,6288661.65,193294,0
75,10.897435897435898,34.06041729871362,2756918.2969924775,80942,0
1254,10.909090909090907,54.77896399434241,1368323.741614679,24979,0
1439,10.92436974789915,30.922823075457416,1747046.7352941176,56497,0
1292,10.9375,49.42378221870919,2876266.43,58196,6
1355,11.0,35.35806021466569,1787951.030875,50567,0
793,11.023622047244103,32.49700714892791,4897136.492307692,150695,0
116,11.111111111111114,40.2959809400169,1501629.7297297297,37265,0
277,11.111111111111114,40.37771413194389,515260.010037736,12761,0
534,11.111111111111114,50.10711926887337,44996.193103448284,898,1
977,11.111111111111114,71.28767034707964,629969.1428571428,8837,6
292,11.111111111111114,24.670623635519465,832460.8533333333,33743,9
1396,11.538461538461547,24.32182871967345,2343067.6915384615,96336,4
1291,11.764705882352942,21.50994373151751,5109601.093647058,237546,6
851,11.764705882352942,39.20662129163752,654044.856387097,16682,9
1244,11.764705882352942,31.878630570373993,3045238.063865546,95526,9
1294,12.0,92.55643154920013,1448415.5973134327,15649,6
