building_id,efficiency_score,primary_use,square_feet,savings_dollars,savings_kwh,savings_percent
645,2.1276595744680833,0.0,304333.0,605005.4371428571,6050054.371428571,50.0
869,0.0,1.0,875000.0,582230.48,5822304.8,50.0
1112,0.0,6.0,190471.0,556625.0,5566250.0,50.0
620,1.2195121951219505,0.0,220703.0,527753.3027027026,5277533.027027026,50.0
556,50.0,3.0,450000.0,505690.8784760384,5056908.784760384,48.891083433996386
546,0.0,9.0,400000.0,483016.8436363637,4830168.4363636365,50.0
475,16.666666666666657,6.0,474680.0,457594.9033333333,4575949.033333333,50.0
785,4.166666666666657,0.0,250000.0,446217.7346341463,4462177.346341463,50.0
648,0.0,0.0,154706.0,434453.01627272734,4344530.162727273,50.0
993,10.526315789473685,0.0,428647.0,433058.8109577465,4330588.109577465,50.0
927,0.0,4.0,745671.0,428547.4748307693,4285474.748307693,50.0
519,16.666666666666657,9.0,461647.0,424346.7436363636,4243467.436363636,50.0
1145,50.0,5.0,35201.0,412087.16623255814,4120871.662325581,50.0
881,0.0,1.0,344798.0,409578.66666666674,4095786.666666667,50.0
786,8.450704225352112,0.0,257000.0,408260.7855,4082607.8549999995,50.0
653,21.05263157894737,0.0,420885.0,407738.30386956525,4077383.038695652,50.0
1212,0.0,9.0,237518.0,399811.7893043479,3998117.8930434785,50.0
1192,0.0,6.0,43587.0,388713.9793548387,3887139.793548387,50.0
375,0.0,6.0,850354.0,380460.96693059406,3804609.66930594,40.10244584988215
1284,25.0,0.0,442438.0,380043.0635454545,3800430.6354545453,50.0
1378,6.976744186046517,0.0,214505.0,379060.88253658544,3790608.825365854,50.0
1289,4.255319148936167,0.0,194441.0,377670.99544,3776709.9544,50.0
1139,0.0,6.0,336650.0,371705.3737391305,3717053.7373913047,50.0
791,1.5748031496062964,0.0,150695.0,358347.8074074074,3583478.0740740737,50.0
954,12.7659574468085,0.0,305224.0,335340.8903653846,3353408.9036538457,50.0
615,4.800000000000011,0.0,153700.0,335316.6690857143,3353166.690857143,50.0
1249,2.5,6.0,159384.0,334551.7259032258,3345517.2590322574,50.0
792,17.5,0.0,333681.0,334300.27263157896,3343002.7263157894,50.0
482,29.629629629629633,0.0,394000.0,332654.6605263158,3326546.6052631577,50.0
757,0.0,0.0,46813.0,332449.01102068974,3324490.1102068974,50.0
798,40.90909090909091,0.0,409028.0,331486.8315,3314868.3149999995,50.0
1252,1.2987012987013031,0.0,116249.0,319992.4109473685,3199924.1094736843,50.0
854,0.0,1.0,92288.0,315791.2455789474,3157912.455789474,50.0
955,15.555555555555557,0.0,198488.0,314742.7349068966,3147427.3490689658,50.0
209,10.63829787234043,0.0,193294.0,314433.0825,3144330.825,50.0
561,18.181818181818173,6.0,295000.0,301451.8863157895,3014518.8631578945,50.0
1156,16.17647058823529,0.0,259989.0,300364.32832000003,3003643.2832,50.0
784,14.893617021276597,0.0,190817.0,290472.5379310345,2904725.3793103453,50.0
560,30.0,6.0,340000.0,285131.6125,2851316.125,50.0
448,27.272727272727266,6.0,328760.0,283888.24,2838882.4,50.0
1204,1.5625,6.0,38382.0,283653.69661538466,2836536.9661538466,50.0
1298,8.92857142857143,0.0,171084.0,283555.6155,2835556.155,50.0
903,18.33333333333333,0.0,275793.0,282026.98905882344,2820269.890588234,50.0
212,24.390243902439025,0.0,327256.0,282006.20760937495,2820062.0760937496,50.0
114,6.060606060606062,0.0,139683.0,266999.4939428572,2669994.9394285716,50.0
1258,23.33333333333333,0.0,273234.0,265127.094,2651270.94,50.0
18,2.0270270270270316,0.0,111891.0,264752.7146960549,2647527.146960549,50.0
1303,0.0,3.0,200000.0,264042.898,2640428.98,50.0
376,33.33333333333334,6.0,585955.0,263243.83435802633,2632438.343580263,40.20113465306883
1425,50.0,14.0,4071.0,263173.4874666667,2631734.8746666666,50.0
802,21.568627450980387,0.0,290625.0,261100.62636363637,2611006.2636363637,50.0
966,41.379310344827594,0.0,393530.0,260456.8378888889,2604568.3788888888,50.0
1288,13.91304347826086,0.0,164206.0,260130.46729411764,2601304.672941176,50.0
617,20.95238095238095,0.0,182943.0,260122.24556756756,2601222.4556756755,50.0
1317,0.0,1.0,180806.0,258723.84122571425,2587238.4122571424,50.0
1291,11.764705882352942,6.0,237546.0,255480.05468235293,2554800.546823529,50.0
1387,7.142857142857139,6.0,187041.0,250634.87849999993,2506348.784999999,50.0
1290,21.590909090909093,0.0,200442.0,250224.85835714286,2502248.5835714284,50.0
1437,2.6845637583892596,0.0,111518.0,249925.60319999998,2499256.0319999997,50.0
1347,34.14634146341463,0.0,322341.0,249545.33046233768,2495453.3046233766,50.0
1267,6.818181818181827,0.0,138977.0,246963.70007692307,2469637.0007692305,50.0
1200,0.0,1.0,545351.0,245791.84324200253,2457918.432420025,41.3654709568006
602,5.882352941176478,1.0,238065.0,245462.61972,2454626.1972,50.0
793,11.023622047244103,0.0,150695.0,244856.8246153846,2448568.246153846,50.0
790,2.484472049689444,0.0,86111.0,243975.36646153854,2439753.6646153852,50.0
1438,3.225806451612897,0.0,108971.0,240183.9735272727,2401839.735272727,50.0
1402,0.0,4.0,133594.0,240107.01559999996,2401070.1559999995,50.0
60,1.923076923076934,0.0,81576.0,240070.93397052507,2400709.3397052507,50.0
121,12.5,0.0,150318.0,239999.74574999997,2399997.4574999996,50.0
1282,0.0,3.0,12500.0,238922.74285714288,2389227.4285714286,50.0
904,1.470588235294116,0.0,29961.0,229837.9534883721,2298379.534883721,50.0
1171,0.0,5.0,56851.0,226560.93363333336,2265609.3363333335,50.0
192,17.74193548387096,0.0,151637.0,226035.6003135135,2260356.003135135,50.0
10,28.57142857142857,1.0,370773.0,224134.39460463915,2241343.9460463915,48.61843142837512
1075,4.477611940298516,6.0,72709.0,221862.56360000005,2218625.6360000004,50.0
611,9.154929577464785,0.0,128126.0,219839.14960000003,2198391.4960000003,50.0
1225,4.838709677419345,6.0,122746.0,219054.18936000002,2190541.8936,50.0
76,10.563380281690144,0.0,128887.0,217781.67868244124,2177816.786824412,50.0
1295,1.6129032258064484,6.0,115676.0,215374.81443375,2153748.1443375,50.0
1089,0.0,6.0,62837.0,214547.61886567163,2145476.188656716,50.0
609,15.151515151515156,0.0,141461.0,211839.87194594592,2118398.719459459,50.0
1099,44.99999999999999,0.0,332884.0,208946.7019411765,2089467.0194117648,50.0
115,12.7659574468085,0.0,129716.0,206432.22580645158,2064322.2580645157,50.0
1076,3.8461538461538396,4.0,117054.0,205230.53925000003,2052305.3925,50.0
782,13.475177304964532,0.0,129344.0,205006.28794285716,2050062.8794285716,50.0
890,25.581395348837205,0.0,202937.0,203901.73681538465,2039017.3681538464,50.0
1251,7.79220779220779,0.0,104604.0,203574.82642718442,2035748.2642718442,50.0
1432,23.33333333333333,0.0,160673.0,202788.8291666667,2027888.2916666667,50.0
921,16.666666666666657,1.0,262162.0,202301.7412149533,2023017.412149533,50.0
796,29.48717948717949,0.0,226042.0,200713.57891891897,2007135.7891891894,50.0
1418,0.0,4.0,41302.0,199368.83231578945,1993688.3231578944,50.0
407,48.78048780487805,0.0,325217.0,199099.0556756757,1990990.556756757,50.0
924,21.42857142857143,1.0,252268.0,198948.6092068965,1989486.092068965,50.0
768,3.973509933774835,0.0,75929.0,196961.5044,1969615.044,50.0
1354,0.0,0.0,23232.0,196765.71329,1967657.1329,50.0
1184,0.0,4.0,74584.0,194593.1979692308,1945931.9796923078,50.0
1253,20.149253731343293,0.0,134748.0,193461.05261320758,1934610.5261320756,50.0
583,31.764705882352942,0.0,206054.0,190571.22675,1905712.2674999998,50.0
1240,0.0,9.0,73277.0,188604.0015929204,1886040.0159292037,50.0
1281,4.615384615384613,6.0,103138.0,188292.10258064524,1882921.0258064521,50.0
31,0.7692307692307736,0.0,61904.0,188141.32403114514,1881413.2403114513,50.0
1222,4.761904761904773,4.0,187174.0,187868.49300000002,1878684.9300000002,50.0
562,32.051282051282044,0.0,235000.0,187034.4230769231,1870344.2307692308,50.0
932,5.882352941176478,4.0,233937.0,186682.0459646018,1866820.4596460178,50.0
874,20.0,6.0,181805.0,186045.33243956044,1860453.3243956044,50.0
1344,16.666666666666657,0.0,125507.0,185722.6890717949,1857226.890717949,50.0
1350,26.5625,0.0,149762.0,185120.22123564355,1851202.2123564354,50.0
1301,2.3076923076923066,0.0,62242.0,184582.35668510638,1845823.5668510636,50.0
